iter	Passed	Remaining
612	2309	1458
613	2313	1454
614	2315	1449
615	2318	1445
616	2320	1440
617	2321	1434
618	2322	1429
619	2323	1424
620	2326	1419
621	2328	1414
622	2331	1410
623	2333	1406
624	2335	1401
625	2336	1395
626	2338	1391
627	2341	1386
628	2343	1382
629	2344	1376
630	2345	1371
631	2348	1367
632	2351	1363
633	2356	1360
634	2359	1356
635	2363	1352
636	2366	1348
637	2370	1345
638	2371	1339
639	2372	1334
640	2375	1330
641	2377	1325
642	2378	1320
643	2379	1315
644	2379	1309
645	2383	1305
646	2384	1301
647	2385	1295
648	2386	1290
649	2386	1285
650	2391	1281
651	2392	1276
652	2393	1271
653	2394	1266
654	2395	1261
655	2396	1256
656	2398	1252
657	2399	1247
658	2400	1242
659	2401	1237
660	2402	1231
661	2403	1227
662	2404	1222
663	2405	1217
664	2406	1212
665	2407	1207
666	2408	1202
667	2409	1197
668	2410	1192
669	2413	1188
670	2414	1183
671	2414	1178
672	2415	1173
673	2416	1168
674	2417	1164
675	2419	1159
676	2420	1154
677	2421	1149
678	2422	1145
679	2423	1140
680	2423	1135
681	2424	1130
682	2426	1126
683	2427	1121
684	2428	1116
685	2429	1112
686	2430	1107
687	2431	1102
688	2431	1097
689	2433	1093
690	2434	1088
691	2435	1084
692	2436	1079
693	2437	1074
694	2438	1069
695	2438	1065
696	2439	1060
697	2441	1056
698	2442	1051
699	2443	1047
700	2444	1042
701	2445	1037
702	2446	1033
703	2446	1028
704	2447	1024
705	2448	1019
706	2449	1015
707	2450	1010
708	2451	1006
709	2452	1001
710	2452	996
711	2453	992
712	2454	987
713	2455	983
714	2456	979
715	2458	975
716	2459	970
717	2459	966
718	2460	961
719	2461	957
720	2461	952
721	2462	948
722	2464	944
723	2464	939
724	2465	935
725	2466	930
726	2466	926
727	2467	921
728	2468	917
729	2469	913
730	2469	908
731	2471	904
732	2472	900
733	2472	896
734	2473	891
735	2474	887
736	2474	883
737	2475	878
738	2476	874
739	2476	870
740	2478	866
741	2479	862
742	2480	857
743	2480	853
744	2481	849
745	2482	845
746	2482	840
747	2483	836
748	2484	832
749	2485	828
750	2486	824
751	2487	820
752	2488	816
753	2489	812
754	2489	807
755	2490	803
756	2491	799
757	2491	795
758	2492	791
759	2493	787
760	2495	783
761	2496	779
762	2496	775
763	2497	771
764	2498	767
765	2498	763
766	2499	759
767	2500	755
768	2501	751
769	2502	747
770	2503	743
771	2503	739
772	2504	735
773	2505	731
774	2505	727
775	2506	723
776	2507	719
777	2508	715
778	2509	711
779	2510	708
780	2511	704
781	2511	700
782	2512	696
783	2513	692
784	2513	688
785	2514	684
786	2515	680
787	2516	676
788	2517	673
789	2518	669
790	2518	665
791	2519	661
792	2520	657
793	2520	653
794	2521	650
795	2522	646
796	2523	642
797	2524	638
798	2525	635
799	2525	631
800	2526	627
801	2527	623
802	2527	620
803	2528	616
804	2529	612
805	2529	608
806	2530	605
807	2532	601
808	2533	598
809	2533	594
810	2534	590
811	2535	586
812	2535	583
813	2536	579
814	2537	575
815	2538	572
816	2539	568
817	2540	565
818	2540	561
819	2541	557
820	2542	554
821	2543	550
822	2544	547
823	2545	543
824	2546	540
825	2547	536
826	2548	533
827	2549	529
828	2550	526
829	2550	522
830	2551	518
831	2552	515
832	2554	512
833	2555	508
834	2555	505
835	2556	501
836	2557	498
837	2557	494
838	2558	491
839	2559	487
840	2560	484
841	2561	480
842	2562	477
843	2563	473
844	2564	470
845	2564	466
846	2565	463
847	2566	460
848	2567	456
849	2567	453
850	2569	449
851	2569	446
852	2570	443
853	2571	439
854	2572	436
855	2572	432
856	2573	429
857	2574	426
858	2575	422
859	2576	419
860	2577	416
861	2577	412
862	2578	409
863	2579	405
864	2579	402
865	2580	399
866	2581	395
867	2581	392
868	2582	389
869	2583	386
870	2584	382
871	2584	379
872	2585	376
873	2586	372
874	2587	369
875	2588	366
876	2589	363
877	2590	359
878	2591	356
879	2591	353
880	2592	350
881	2593	346
882	2593	343
883	2594	340
884	2595	337
885	2596	334
886	2597	330
887	2597	327
888	2598	324
889	2599	321
890	2601	318
891	2602	315
892	2603	311
893	2604	308
894	2604	305
895	2605	302
896	2606	299
897	2607	296
898	2608	293
899	2609	289
900	2609	286
901	2610	283
902	2611	280
903	2611	277
904	2612	274
905	2613	271
906	2614	268
907	2614	264
908	2615	261
909	2616	258
910	2616	255
911	2617	252
912	2618	249
913	2618	246
914	2619	243
915	2620	240
916	2621	237
917	2621	234
918	2622	231
919	2623	228
920	2624	225
921	2625	222
922	2625	219
923	2626	216
924	2627	213
925	2628	210
926	2629	207
927	2630	204
928	2631	201
929	2632	198
930	2633	195
931	2633	192
932	2634	189
933	2635	186
934	2636	183
935	2637	180
936	2637	177
937	2638	174
938	2639	171
939	2640	168
940	2641	165
941	2641	162
942	2642	159
943	2643	156
944	2644	153
945	2645	150
946	2645	148
947	2646	145
948	2648	142
949	2649	139
950	2650	136
951	2652	133
952	2655	130
953	2656	128
954	2658	125
955	2659	122
956	2660	119
957	2662	116
958	2663	113
959	2664	111
960	2666	108
961	2667	105
962	2668	102
963	2670	99
964	2671	96
965	2673	94
966	2674	91
967	2675	88
968	2676	85
969	2677	82
970	2678	79
971	2679	77
972	2680	74
973	2681	71
974	2682	68
975	2683	65
976	2684	63
977	2685	60
978	2686	57
979	2687	54
980	2688	52
981	2690	49
982	2691	46
983	2692	43
984	2693	41
985	2694	38
986	2695	35
987	2696	32
988	2697	30
989	2698	27
990	2699	24
991	2700	21
992	2701	19
993	2702	16
994	2703	13
995	2704	10
996	2704	8
997	2705	5
998	2706	2
999	2707	0
